#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD0D17
#Date Time: 2025-10-15 17:25:03.300
#Sample rate: 5e+07Hz
#Samples: 4096

DateTime,DIO 1,DIO 2,SPI,DIO  3
2025-10-15 17:25:03.299.978.400,0,1,X,1
2025-10-15 17:25:03.299.978.420,0,1,X,1
2025-10-15 17:25:03.299.978.440,0,1,X,1
2025-10-15 17:25:03.299.978.460,0,1,X,1
2025-10-15 17:25:03.299.978.480,0,1,X,1
2025-10-15 17:25:03.299.978.500,0,1,X,1
2025-10-15 17:25:03.299.978.520,0,1,X,1
2025-10-15 17:25:03.299.978.540,0,1,X,1
2025-10-15 17:25:03.299.978.560,0,1,X,1
2025-10-15 17:25:03.299.978.580,0,1,X,1
2025-10-15 17:25:03.299.978.600,0,1,X,1
2025-10-15 17:25:03.299.978.620,0,1,X,1
2025-10-15 17:25:03.299.978.640,0,1,X,1
2025-10-15 17:25:03.299.978.660,0,1,X,1
2025-10-15 17:25:03.299.978.680,0,1,X,1
2025-10-15 17:25:03.299.978.700,0,1,X,1
2025-10-15 17:25:03.299.978.720,0,1,X,1
2025-10-15 17:25:03.299.978.740,0,1,X,1
2025-10-15 17:25:03.299.978.760,0,1,X,1
2025-10-15 17:25:03.299.978.780,0,1,X,1
2025-10-15 17:25:03.299.978.800,0,1,X,1
2025-10-15 17:25:03.299.978.820,0,1,X,1
2025-10-15 17:25:03.299.978.840,0,1,X,1
2025-10-15 17:25:03.299.978.860,0,1,X,1
2025-10-15 17:25:03.299.978.880,0,1,X,1
2025-10-15 17:25:03.299.978.900,0,1,X,1
2025-10-15 17:25:03.299.978.920,0,1,X,1
2025-10-15 17:25:03.299.978.940,0,1,X,1
2025-10-15 17:25:03.299.978.960,0,1,X,1
2025-10-15 17:25:03.299.978.980,0,1,X,1
2025-10-15 17:25:03.299.979.000,0,1,X,1
2025-10-15 17:25:03.299.979.020,0,1,X,1
2025-10-15 17:25:03.299.979.040,0,1,X,1
2025-10-15 17:25:03.299.979.060,0,1,X,1
2025-10-15 17:25:03.299.979.080,0,1,X,1
2025-10-15 17:25:03.299.979.100,0,1,X,1
2025-10-15 17:25:03.299.979.120,0,1,X,1
2025-10-15 17:25:03.299.979.140,0,1,X,1
2025-10-15 17:25:03.299.979.160,0,1,X,1
2025-10-15 17:25:03.299.979.180,0,1,X,1
2025-10-15 17:25:03.299.979.200,0,1,X,1
2025-10-15 17:25:03.299.979.220,0,1,X,1
2025-10-15 17:25:03.299.979.240,0,1,X,1
2025-10-15 17:25:03.299.979.260,0,1,X,1
2025-10-15 17:25:03.299.979.280,0,1,X,1
2025-10-15 17:25:03.299.979.300,0,1,X,1
2025-10-15 17:25:03.299.979.320,0,1,X,1
2025-10-15 17:25:03.299.979.340,0,1,X,1
2025-10-15 17:25:03.299.979.360,0,1,X,1
2025-10-15 17:25:03.299.979.380,0,1,X,1
2025-10-15 17:25:03.299.979.400,0,1,X,1
2025-10-15 17:25:03.299.979.420,0,1,X,1
2025-10-15 17:25:03.299.979.440,0,1,X,1
2025-10-15 17:25:03.299.979.460,0,1,X,1
2025-10-15 17:25:03.299.979.480,0,1,X,1
2025-10-15 17:25:03.299.979.500,0,1,X,1
2025-10-15 17:25:03.299.979.520,0,1,X,1
2025-10-15 17:25:03.299.979.540,0,1,X,1
2025-10-15 17:25:03.299.979.560,0,1,X,1
2025-10-15 17:25:03.299.979.580,0,1,X,1
2025-10-15 17:25:03.299.979.600,0,1,X,1
2025-10-15 17:25:03.299.979.620,0,1,X,1
2025-10-15 17:25:03.299.979.640,0,1,X,1
2025-10-15 17:25:03.299.979.660,0,1,X,1
2025-10-15 17:25:03.299.979.680,0,1,X,1
2025-10-15 17:25:03.299.979.700,0,1,X,1
2025-10-15 17:25:03.299.979.720,0,1,X,1
2025-10-15 17:25:03.299.979.740,0,1,X,1
2025-10-15 17:25:03.299.979.760,0,1,X,1
2025-10-15 17:25:03.299.979.780,0,1,X,1
2025-10-15 17:25:03.299.979.800,0,1,X,1
2025-10-15 17:25:03.299.979.820,0,1,X,1
2025-10-15 17:25:03.299.979.840,0,1,X,1
2025-10-15 17:25:03.299.979.860,0,1,X,1
2025-10-15 17:25:03.299.979.880,0,1,X,1
2025-10-15 17:25:03.299.979.900,0,1,X,1
2025-10-15 17:25:03.299.979.920,0,1,X,1
2025-10-15 17:25:03.299.979.940,0,1,X,1
2025-10-15 17:25:03.299.979.960,0,1,X,1
2025-10-15 17:25:03.299.979.980,0,1,X,1
2025-10-15 17:25:03.299.980.000,0,1,X,1
2025-10-15 17:25:03.299.980.020,0,1,X,1
2025-10-15 17:25:03.299.980.040,0,1,X,1
2025-10-15 17:25:03.299.980.060,0,1,X,1
2025-10-15 17:25:03.299.980.080,0,1,X,1
2025-10-15 17:25:03.299.980.100,0,1,X,1
2025-10-15 17:25:03.299.980.120,0,1,X,1
2025-10-15 17:25:03.299.980.140,0,1,X,1
2025-10-15 17:25:03.299.980.160,0,1,X,1
2025-10-15 17:25:03.299.980.180,0,1,X,1
2025-10-15 17:25:03.299.980.200,0,1,X,1
2025-10-15 17:25:03.299.980.220,0,1,X,1
2025-10-15 17:25:03.299.980.240,0,1,X,1
2025-10-15 17:25:03.299.980.260,0,1,X,1
2025-10-15 17:25:03.299.980.280,0,1,X,1
2025-10-15 17:25:03.299.980.300,0,1,X,1
2025-10-15 17:25:03.299.980.320,0,1,X,1
2025-10-15 17:25:03.299.980.340,0,1,X,1
2025-10-15 17:25:03.299.980.360,0,1,X,1
2025-10-15 17:25:03.299.980.380,0,1,X,1
2025-10-15 17:25:03.299.980.400,0,1,X,1
2025-10-15 17:25:03.299.980.420,0,1,X,1
2025-10-15 17:25:03.299.980.440,0,1,X,1
2025-10-15 17:25:03.299.980.460,0,1,X,1
2025-10-15 17:25:03.299.980.480,0,1,X,1
2025-10-15 17:25:03.299.980.500,0,1,X,1
2025-10-15 17:25:03.299.980.520,0,1,X,1
2025-10-15 17:25:03.299.980.540,0,1,X,1
2025-10-15 17:25:03.299.980.560,0,1,X,1
2025-10-15 17:25:03.299.980.580,0,1,X,1
2025-10-15 17:25:03.299.980.600,0,1,X,1
2025-10-15 17:25:03.299.980.620,0,1,X,1
2025-10-15 17:25:03.299.980.640,0,1,X,1
2025-10-15 17:25:03.299.980.660,0,1,X,1
2025-10-15 17:25:03.299.980.680,0,1,X,1
2025-10-15 17:25:03.299.980.700,0,1,X,1
2025-10-15 17:25:03.299.980.720,0,1,X,1
2025-10-15 17:25:03.299.980.740,0,1,X,1
2025-10-15 17:25:03.299.980.760,0,1,X,1
2025-10-15 17:25:03.299.980.780,0,1,X,1
2025-10-15 17:25:03.299.980.800,0,1,X,1
2025-10-15 17:25:03.299.980.820,0,1,X,1
2025-10-15 17:25:03.299.980.840,0,1,X,1
2025-10-15 17:25:03.299.980.860,0,1,X,1
2025-10-15 17:25:03.299.980.880,0,1,X,1
2025-10-15 17:25:03.299.980.900,0,1,X,1
2025-10-15 17:25:03.299.980.920,0,1,X,1
2025-10-15 17:25:03.299.980.940,0,1,X,1
2025-10-15 17:25:03.299.980.960,0,1,X,1
2025-10-15 17:25:03.299.980.980,0,1,X,1
2025-10-15 17:25:03.299.981.000,0,1,X,1
2025-10-15 17:25:03.299.981.020,0,1,X,1
2025-10-15 17:25:03.299.981.040,0,1,X,1
2025-10-15 17:25:03.299.981.060,0,1,X,1
2025-10-15 17:25:03.299.981.080,0,1,X,1
2025-10-15 17:25:03.299.981.100,0,1,X,1
2025-10-15 17:25:03.299.981.120,0,1,X,1
2025-10-15 17:25:03.299.981.140,0,1,X,1
2025-10-15 17:25:03.299.981.160,0,1,X,1
2025-10-15 17:25:03.299.981.180,0,1,X,1
2025-10-15 17:25:03.299.981.200,0,1,X,1
2025-10-15 17:25:03.299.981.220,0,1,X,1
2025-10-15 17:25:03.299.981.240,0,1,X,1
2025-10-15 17:25:03.299.981.260,0,1,X,1
2025-10-15 17:25:03.299.981.280,0,1,X,1
2025-10-15 17:25:03.299.981.300,0,1,X,1
2025-10-15 17:25:03.299.981.320,0,1,X,1
2025-10-15 17:25:03.299.981.340,0,1,X,1
2025-10-15 17:25:03.299.981.360,0,1,X,1
2025-10-15 17:25:03.299.981.380,0,1,X,1
2025-10-15 17:25:03.299.981.400,0,1,X,1
2025-10-15 17:25:03.299.981.420,0,1,X,1
2025-10-15 17:25:03.299.981.440,0,1,X,1
2025-10-15 17:25:03.299.981.460,0,1,X,1
2025-10-15 17:25:03.299.981.480,0,1,X,1
2025-10-15 17:25:03.299.981.500,0,1,X,1
2025-10-15 17:25:03.299.981.520,0,1,X,1
2025-10-15 17:25:03.299.981.540,0,1,X,1
2025-10-15 17:25:03.299.981.560,0,1,X,1
2025-10-15 17:25:03.299.981.580,0,1,X,1
2025-10-15 17:25:03.299.981.600,0,1,X,1
2025-10-15 17:25:03.299.981.620,0,1,X,1
2025-10-15 17:25:03.299.981.640,0,1,X,1
2025-10-15 17:25:03.299.981.660,0,1,X,1
2025-10-15 17:25:03.299.981.680,0,1,X,1
2025-10-15 17:25:03.299.981.700,0,1,X,1
2025-10-15 17:25:03.299.981.720,0,1,X,1
2025-10-15 17:25:03.299.981.740,0,1,X,1
2025-10-15 17:25:03.299.981.760,0,1,X,1
2025-10-15 17:25:03.299.981.780,0,1,X,1
2025-10-15 17:25:03.299.981.800,0,1,X,1
2025-10-15 17:25:03.299.981.820,0,1,X,1
2025-10-15 17:25:03.299.981.840,0,1,X,1
2025-10-15 17:25:03.299.981.860,0,1,X,1
2025-10-15 17:25:03.299.981.880,0,1,X,1
2025-10-15 17:25:03.299.981.900,0,1,X,1
2025-10-15 17:25:03.299.981.920,0,1,X,1
2025-10-15 17:25:03.299.981.940,0,1,X,1
2025-10-15 17:25:03.299.981.960,0,1,X,1
2025-10-15 17:25:03.299.981.980,0,1,X,1
2025-10-15 17:25:03.299.982.000,0,1,X,1
2025-10-15 17:25:03.299.982.020,0,1,X,1
2025-10-15 17:25:03.299.982.040,0,1,X,1
2025-10-15 17:25:03.299.982.060,0,1,X,1
2025-10-15 17:25:03.299.982.080,0,1,X,1
2025-10-15 17:25:03.299.982.100,0,1,X,1
2025-10-15 17:25:03.299.982.120,0,1,X,1
2025-10-15 17:25:03.299.982.140,0,1,X,1
2025-10-15 17:25:03.299.982.160,0,1,X,1
2025-10-15 17:25:03.299.982.180,0,1,X,1
2025-10-15 17:25:03.299.982.200,0,1,X,1
2025-10-15 17:25:03.299.982.220,0,1,X,1
2025-10-15 17:25:03.299.982.240,0,1,X,1
2025-10-15 17:25:03.299.982.260,0,1,X,1
2025-10-15 17:25:03.299.982.280,0,1,X,1
2025-10-15 17:25:03.299.982.300,0,1,X,1
2025-10-15 17:25:03.299.982.320,0,1,X,1
2025-10-15 17:25:03.299.982.340,0,1,X,1
2025-10-15 17:25:03.299.982.360,0,1,X,1
2025-10-15 17:25:03.299.982.380,0,1,X,1
2025-10-15 17:25:03.299.982.400,0,1,X,1
2025-10-15 17:25:03.299.982.420,0,1,X,1
2025-10-15 17:25:03.299.982.440,0,1,X,1
2025-10-15 17:25:03.299.982.460,0,1,X,1
2025-10-15 17:25:03.299.982.480,0,1,X,1
2025-10-15 17:25:03.299.982.500,0,1,X,1
2025-10-15 17:25:03.299.982.520,0,1,X,1
2025-10-15 17:25:03.299.982.540,0,1,X,1
2025-10-15 17:25:03.299.982.560,0,1,X,1
2025-10-15 17:25:03.299.982.580,0,1,X,1
2025-10-15 17:25:03.299.982.600,0,1,X,1
2025-10-15 17:25:03.299.982.620,0,1,X,1
2025-10-15 17:25:03.299.982.640,0,1,X,1
2025-10-15 17:25:03.299.982.660,0,1,X,1
2025-10-15 17:25:03.299.982.680,0,1,X,1
2025-10-15 17:25:03.299.982.700,0,1,X,1
2025-10-15 17:25:03.299.982.720,0,1,X,1
2025-10-15 17:25:03.299.982.740,0,1,X,1
2025-10-15 17:25:03.299.982.760,0,1,X,1
2025-10-15 17:25:03.299.982.780,0,1,X,1
2025-10-15 17:25:03.299.982.800,0,1,X,1
2025-10-15 17:25:03.299.982.820,0,1,X,1
2025-10-15 17:25:03.299.982.840,0,1,X,1
2025-10-15 17:25:03.299.982.860,0,1,X,1
2025-10-15 17:25:03.299.982.880,0,1,X,1
2025-10-15 17:25:03.299.982.900,0,1,X,1
2025-10-15 17:25:03.299.982.920,0,1,X,1
2025-10-15 17:25:03.299.982.940,0,1,X,1
2025-10-15 17:25:03.299.982.960,0,1,X,1
2025-10-15 17:25:03.299.982.980,0,1,X,1
2025-10-15 17:25:03.299.983.000,0,1,X,1
2025-10-15 17:25:03.299.983.020,0,1,X,1
2025-10-15 17:25:03.299.983.040,0,1,X,1
2025-10-15 17:25:03.299.983.060,0,1,X,1
2025-10-15 17:25:03.299.983.080,0,1,X,1
2025-10-15 17:25:03.299.983.100,0,1,X,1
2025-10-15 17:25:03.299.983.120,0,1,X,1
2025-10-15 17:25:03.299.983.140,0,1,X,1
2025-10-15 17:25:03.299.983.160,0,1,X,1
2025-10-15 17:25:03.299.983.180,0,1,X,1
2025-10-15 17:25:03.299.983.200,0,1,X,1
2025-10-15 17:25:03.299.983.220,0,1,X,1
2025-10-15 17:25:03.299.983.240,0,1,X,1
2025-10-15 17:25:03.299.983.260,0,1,X,1
2025-10-15 17:25:03.299.983.280,0,1,X,1
2025-10-15 17:25:03.299.983.300,0,1,X,1
2025-10-15 17:25:03.299.983.320,0,1,X,1
2025-10-15 17:25:03.299.983.340,0,1,X,1
2025-10-15 17:25:03.299.983.360,0,1,X,1
2025-10-15 17:25:03.299.983.380,0,1,X,1
2025-10-15 17:25:03.299.983.400,0,1,X,1
2025-10-15 17:25:03.299.983.420,0,1,X,1
2025-10-15 17:25:03.299.983.440,0,1,X,1
2025-10-15 17:25:03.299.983.460,0,1,X,1
2025-10-15 17:25:03.299.983.480,0,1,X,1
2025-10-15 17:25:03.299.983.500,0,1,X,1
2025-10-15 17:25:03.299.983.520,0,1,X,1
2025-10-15 17:25:03.299.983.540,0,1,X,1
2025-10-15 17:25:03.299.983.560,0,1,X,1
2025-10-15 17:25:03.299.983.580,0,1,X,1
2025-10-15 17:25:03.299.983.600,0,1,X,1
2025-10-15 17:25:03.299.983.620,0,1,X,1
2025-10-15 17:25:03.299.983.640,0,1,X,1
2025-10-15 17:25:03.299.983.660,0,1,X,1
2025-10-15 17:25:03.299.983.680,0,1,X,1
2025-10-15 17:25:03.299.983.700,0,1,X,1
2025-10-15 17:25:03.299.983.720,0,1,X,1
2025-10-15 17:25:03.299.983.740,0,1,X,1
2025-10-15 17:25:03.299.983.760,0,1,X,1
2025-10-15 17:25:03.299.983.780,0,1,X,1
2025-10-15 17:25:03.299.983.800,0,1,X,1
2025-10-15 17:25:03.299.983.820,0,1,X,1
2025-10-15 17:25:03.299.983.840,0,1,X,1
2025-10-15 17:25:03.299.983.860,0,1,X,1
2025-10-15 17:25:03.299.983.880,0,1,X,1
2025-10-15 17:25:03.299.983.900,0,1,X,1
2025-10-15 17:25:03.299.983.920,0,1,X,1
2025-10-15 17:25:03.299.983.940,0,1,X,1
2025-10-15 17:25:03.299.983.960,0,1,X,1
2025-10-15 17:25:03.299.983.980,0,1,X,1
2025-10-15 17:25:03.299.984.000,0,1,X,1
2025-10-15 17:25:03.299.984.020,0,1,X,1
2025-10-15 17:25:03.299.984.040,0,1,X,1
2025-10-15 17:25:03.299.984.060,0,1,X,1
2025-10-15 17:25:03.299.984.080,0,1,X,1
2025-10-15 17:25:03.299.984.100,0,1,X,1
2025-10-15 17:25:03.299.984.120,0,1,X,1
2025-10-15 17:25:03.299.984.140,0,1,X,1
2025-10-15 17:25:03.299.984.160,0,1,X,1
2025-10-15 17:25:03.299.984.180,0,1,X,1
2025-10-15 17:25:03.299.984.200,0,1,X,1
2025-10-15 17:25:03.299.984.220,0,1,X,1
2025-10-15 17:25:03.299.984.240,0,1,X,1
2025-10-15 17:25:03.299.984.260,0,1,X,1
2025-10-15 17:25:03.299.984.280,0,1,X,1
2025-10-15 17:25:03.299.984.300,0,1,X,1
2025-10-15 17:25:03.299.984.320,0,1,X,1
2025-10-15 17:25:03.299.984.340,0,1,X,1
2025-10-15 17:25:03.299.984.360,0,1,X,1
2025-10-15 17:25:03.299.984.380,0,1,X,1
2025-10-15 17:25:03.299.984.400,0,1,X,1
2025-10-15 17:25:03.299.984.420,0,1,X,1
2025-10-15 17:25:03.299.984.440,0,1,X,1
2025-10-15 17:25:03.299.984.460,0,1,X,1
2025-10-15 17:25:03.299.984.480,0,1,X,1
2025-10-15 17:25:03.299.984.500,0,1,X,1
2025-10-15 17:25:03.299.984.520,0,1,X,1
2025-10-15 17:25:03.299.984.540,0,1,X,1
2025-10-15 17:25:03.299.984.560,0,1,X,1
2025-10-15 17:25:03.299.984.580,0,1,X,1
2025-10-15 17:25:03.299.984.600,0,1,X,1
2025-10-15 17:25:03.299.984.620,0,1,X,1
2025-10-15 17:25:03.299.984.640,0,1,X,1
2025-10-15 17:25:03.299.984.660,0,1,X,1
2025-10-15 17:25:03.299.984.680,0,1,X,1
2025-10-15 17:25:03.299.984.700,0,1,X,1
2025-10-15 17:25:03.299.984.720,0,1,X,1
2025-10-15 17:25:03.299.984.740,0,1,X,1
2025-10-15 17:25:03.299.984.760,0,1,X,1
2025-10-15 17:25:03.299.984.780,0,1,X,1
2025-10-15 17:25:03.299.984.800,0,1,X,1
2025-10-15 17:25:03.299.984.820,0,1,X,1
2025-10-15 17:25:03.299.984.840,0,1,X,1
2025-10-15 17:25:03.299.984.860,0,1,X,1
2025-10-15 17:25:03.299.984.880,0,1,X,1
2025-10-15 17:25:03.299.984.900,0,1,X,1
2025-10-15 17:25:03.299.984.920,0,1,X,1
2025-10-15 17:25:03.299.984.940,0,1,X,1
2025-10-15 17:25:03.299.984.960,0,1,X,1
2025-10-15 17:25:03.299.984.980,0,1,X,1
2025-10-15 17:25:03.299.985.000,0,1,X,1
2025-10-15 17:25:03.299.985.020,0,1,X,1
2025-10-15 17:25:03.299.985.040,0,1,X,1
2025-10-15 17:25:03.299.985.060,0,1,X,1
2025-10-15 17:25:03.299.985.080,0,1,X,1
2025-10-15 17:25:03.299.985.100,0,1,X,1
2025-10-15 17:25:03.299.985.120,0,1,X,1
2025-10-15 17:25:03.299.985.140,0,1,X,1
2025-10-15 17:25:03.299.985.160,0,1,X,1
2025-10-15 17:25:03.299.985.180,0,1,X,1
2025-10-15 17:25:03.299.985.200,0,1,X,1
2025-10-15 17:25:03.299.985.220,0,1,X,1
2025-10-15 17:25:03.299.985.240,0,1,X,1
2025-10-15 17:25:03.299.985.260,0,1,X,1
2025-10-15 17:25:03.299.985.280,0,1,X,1
2025-10-15 17:25:03.299.985.300,0,1,X,1
2025-10-15 17:25:03.299.985.320,0,1,X,1
2025-10-15 17:25:03.299.985.340,0,1,X,1
2025-10-15 17:25:03.299.985.360,0,1,X,1
2025-10-15 17:25:03.299.985.380,0,1,X,1
2025-10-15 17:25:03.299.985.400,0,1,X,1
2025-10-15 17:25:03.299.985.420,0,1,X,1
2025-10-15 17:25:03.299.985.440,0,1,X,1
2025-10-15 17:25:03.299.985.460,0,1,X,1
2025-10-15 17:25:03.299.985.480,0,1,X,1
2025-10-15 17:25:03.299.985.500,0,1,X,1
2025-10-15 17:25:03.299.985.520,0,1,X,1
2025-10-15 17:25:03.299.985.540,0,1,X,1
2025-10-15 17:25:03.299.985.560,0,1,X,1
2025-10-15 17:25:03.299.985.580,0,1,X,1
2025-10-15 17:25:03.299.985.600,0,1,X,1
2025-10-15 17:25:03.299.985.620,0,1,X,1
2025-10-15 17:25:03.299.985.640,0,1,X,1
2025-10-15 17:25:03.299.985.660,0,1,X,1
2025-10-15 17:25:03.299.985.680,0,1,X,1
2025-10-15 17:25:03.299.985.700,0,1,X,1
2025-10-15 17:25:03.299.985.720,0,1,X,1
2025-10-15 17:25:03.299.985.740,0,1,X,1
2025-10-15 17:25:03.299.985.760,0,1,X,1
2025-10-15 17:25:03.299.985.780,0,1,X,1
2025-10-15 17:25:03.299.985.800,0,1,X,1
2025-10-15 17:25:03.299.985.820,0,1,X,1
2025-10-15 17:25:03.299.985.840,0,1,X,1
2025-10-15 17:25:03.299.985.860,0,1,X,1
2025-10-15 17:25:03.299.985.880,0,1,X,1
2025-10-15 17:25:03.299.985.900,0,1,X,1
2025-10-15 17:25:03.299.985.920,0,1,X,1
2025-10-15 17:25:03.299.985.940,0,1,X,1
2025-10-15 17:25:03.299.985.960,0,1,X,1
2025-10-15 17:25:03.299.985.980,0,1,X,1
2025-10-15 17:25:03.299.986.000,0,1,X,1
2025-10-15 17:25:03.299.986.020,0,1,X,1
2025-10-15 17:25:03.299.986.040,0,1,X,1
2025-10-15 17:25:03.299.986.060,0,1,X,1
2025-10-15 17:25:03.299.986.080,0,1,X,1
2025-10-15 17:25:03.299.986.100,0,1,X,1
2025-10-15 17:25:03.299.986.120,0,1,X,1
2025-10-15 17:25:03.299.986.140,0,1,X,1
2025-10-15 17:25:03.299.986.160,0,1,X,1
2025-10-15 17:25:03.299.986.180,0,1,X,1
2025-10-15 17:25:03.299.986.200,0,1,X,1
2025-10-15 17:25:03.299.986.220,0,1,X,1
2025-10-15 17:25:03.299.986.240,0,1,X,1
2025-10-15 17:25:03.299.986.260,0,1,X,1
2025-10-15 17:25:03.299.986.280,0,1,X,1
2025-10-15 17:25:03.299.986.300,0,1,X,1
2025-10-15 17:25:03.299.986.320,0,1,X,1
2025-10-15 17:25:03.299.986.340,0,1,X,1
2025-10-15 17:25:03.299.986.360,0,1,X,1
2025-10-15 17:25:03.299.986.380,0,1,X,1
2025-10-15 17:25:03.299.986.400,0,1,X,1
2025-10-15 17:25:03.299.986.420,0,1,X,1
2025-10-15 17:25:03.299.986.440,0,1,X,1
2025-10-15 17:25:03.299.986.460,0,1,X,1
2025-10-15 17:25:03.299.986.480,0,1,X,1
2025-10-15 17:25:03.299.986.500,0,1,X,1
2025-10-15 17:25:03.299.986.520,0,1,X,1
2025-10-15 17:25:03.299.986.540,0,1,X,1
2025-10-15 17:25:03.299.986.560,0,1,X,1
2025-10-15 17:25:03.299.986.580,0,1,X,1
2025-10-15 17:25:03.299.986.600,0,1,X,1
2025-10-15 17:25:03.299.986.620,0,1,X,1
2025-10-15 17:25:03.299.986.640,0,1,X,1
2025-10-15 17:25:03.299.986.660,0,1,X,1
2025-10-15 17:25:03.299.986.680,0,1,X,1
2025-10-15 17:25:03.299.986.700,0,1,X,1
2025-10-15 17:25:03.299.986.720,0,1,X,1
2025-10-15 17:25:03.299.986.740,0,1,X,1
2025-10-15 17:25:03.299.986.760,0,1,X,1
2025-10-15 17:25:03.299.986.780,0,1,X,1
2025-10-15 17:25:03.299.986.800,0,1,X,1
2025-10-15 17:25:03.299.986.820,0,1,X,1
2025-10-15 17:25:03.299.986.840,0,1,X,1
2025-10-15 17:25:03.299.986.860,0,1,X,1
2025-10-15 17:25:03.299.986.880,0,1,X,1
2025-10-15 17:25:03.299.986.900,0,1,X,1
2025-10-15 17:25:03.299.986.920,0,1,X,1
2025-10-15 17:25:03.299.986.940,0,1,X,1
2025-10-15 17:25:03.299.986.960,0,1,X,1
2025-10-15 17:25:03.299.986.980,0,1,X,1
2025-10-15 17:25:03.299.987.000,0,1,X,1
2025-10-15 17:25:03.299.987.020,0,1,X,1
2025-10-15 17:25:03.299.987.040,0,1,X,1
2025-10-15 17:25:03.299.987.060,0,1,X,1
2025-10-15 17:25:03.299.987.080,0,1,X,1
2025-10-15 17:25:03.299.987.100,0,1,X,1
2025-10-15 17:25:03.299.987.120,0,1,X,1
2025-10-15 17:25:03.299.987.140,0,1,X,1
2025-10-15 17:25:03.299.987.160,0,1,X,1
2025-10-15 17:25:03.299.987.180,0,1,X,1
2025-10-15 17:25:03.299.987.200,0,1,X,1
2025-10-15 17:25:03.299.987.220,0,1,X,1
2025-10-15 17:25:03.299.987.240,0,1,X,1
2025-10-15 17:25:03.299.987.260,0,1,X,1
2025-10-15 17:25:03.299.987.280,0,1,X,1
2025-10-15 17:25:03.299.987.300,0,1,X,1
2025-10-15 17:25:03.299.987.320,0,1,X,1
2025-10-15 17:25:03.299.987.340,0,1,X,1
2025-10-15 17:25:03.299.987.360,0,1,X,1
2025-10-15 17:25:03.299.987.380,0,1,X,1
2025-10-15 17:25:03.299.987.400,0,1,X,1
2025-10-15 17:25:03.299.987.420,0,1,X,1
2025-10-15 17:25:03.299.987.440,0,1,X,1
2025-10-15 17:25:03.299.987.460,0,1,X,1
2025-10-15 17:25:03.299.987.480,0,1,X,1
2025-10-15 17:25:03.299.987.500,0,1,X,1
2025-10-15 17:25:03.299.987.520,0,1,X,1
2025-10-15 17:25:03.299.987.540,0,1,X,1
2025-10-15 17:25:03.299.987.560,0,1,X,1
2025-10-15 17:25:03.299.987.580,0,1,X,1
2025-10-15 17:25:03.299.987.600,0,1,X,1
